epoch,epsilon,time,reward
514,0.2952450000000001,1701683204.0362036,-49.84789604730786
515,0.2952450000000001,1701683204.7450893,-51.0439666977902
516,0.2952450000000001,1701683205.4633064,-51.77505913476506
517,0.2952450000000001,1701683206.1757958,-50.46849478680353
518,0.2952450000000001,1701683206.884312,-54.81367374727667
519,0.2952450000000001,1701683207.6583927,-50.321054699657644
520,0.2952450000000001,1701683208.3603911,-52.36890834111422
521,0.2952450000000001,1701683209.1105735,-52.15351968565206
522,0.2952450000000001,1701683209.7957757,-51.664862278244584
523,0.2952450000000001,1701683210.4710734,-52.20444366635544
524,0.2952450000000001,1701683211.1552303,-52.15925420168068
525,0.2952450000000001,1701683211.9726136,-50.973260192966045
526,0.2952450000000001,1701683212.7043529,-52.953554699657644
527,0.2952450000000001,1701683213.4319322,-53.311336756924945
528,0.2952450000000001,1701683214.133248,-51.170425614690274
529,0.2952450000000001,1701683214.8960626,-50.25721171802053
530,0.2952450000000001,1701683216.608719,-49.39119670090258
531,0.2952450000000001,1701683217.5155108,-56.005785869903505
532,0.2952450000000001,1701683218.2268603,-51.45779489573605
533,0.2952450000000001,1701683218.899979,-50.88899470899468
